alias,dateCreate,productId,shopId,shopName,minOrder,maxOrder,weight,weightUnit,condition,status,product_url,needPrescription,catalogID,isLeasing,isBlacklisted,isTokoNow,etalase_id,etalase_name,etalase_url,category_id,category_name,category_title,category_url,isAdult,isKyc,minAge,related_category_id,related_category_name,related_category_url,transactionSuccess,transactionReject,countSold,paymentVerified,itemSoldFmt,countView,countReview,countTalk,rating,product_name,product_price,currency,useStock,stockValue,isVariant,isCOD
busi-nissan-grand-livina-evalia-juke-xtrail-t31-2-0-original-nissan,2023-08-05T23:48:04+07:00,11049033409,16074969,apellahu,1,525,100,GRAM,NEW,ACTIVE,https://www.tokopedia.com/apellahu/busi-nissan-grand-livina-evalia-juke-xtrail-t31-2-0-original-nissan,False,0,False,False,False,0,,,1343,Busi Mobil,Busi Mobil,https://www.tokopedia.com/p/otomotif/spare-part-mobil/busi-mobil,False,False,0,"['63', '38', '1343']","['Otomotif', 'Spare Part Mobil', 'Busi Mobil']","['https://www.tokopedia.com/p/otomotif', 'https://www.tokopedia.com/p/otomotif/spare-part-mobil', 'https://www.tokopedia.com/p/otomotif/spare-part-mobil/busi-mobil']",0,0,0,0,,7,0,0,0.0,Busi Nissan Grand Livina/Evalia/Juke/Xtrail T31 2.0 Original Nissan,220000,IDR,True,525,False,False
miliki-cigar-cerutu-bin-c99-acrylic-box-20-batang,2023-08-27T02:19:08+07:00,11374298457,16080517,bakaranshop,1,97,850,GRAM,NEW,ACTIVE,https://www.tokopedia.com/bakarans/miliki-cigar-cerutu-bin-c99-acrylic-box-20-batang,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,13,0,0,0.0,Miliki Cigar Cerutu Bin C99 [Acrylic Box 20 Batang],654000,IDR,True,97,False,False
rubber-coupling-rgf-55-rgf-55-rgf55-karet-nilon-kopling-drum-gear,2023-10-16T21:39:49+07:00,11854170555,12082005,tabulapot buwah,1,18,750,GRAM,NEW,ACTIVE,https://www.tokopedia.com/tabulapotbuwah/rubber-coupling-rgf-55-rgf-55-rgf55-karet-nilon-kopling-drum-gear,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,5,0,0,0.0,Rubber Coupling Rgf 55 Rgf-55 Rgf55 / Karet Nilon Kopling Drum Gear,437000,IDR,True,18,False,True
sarung-penutup-kipas-angin-sarung-pelindung-kipas-angin-pink,2021-10-21T22:33:43+07:00,2315410501,151121,Anakkin Baby Store,1,18,50,GRAM,NEW,ACTIVE,https://www.tokopedia.com/anakkin/sarung-penutup-kipas-angin-sarung-pelindung-kipas-angin-pink,False,0,False,False,False,417268,Safety / Harness,https://www.tokopedia.com/anakkin/etalase/safety-harness-1,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",6,0,9,6,9,280,0,0,0.0,Sarung Penutup Kipas Angin / sarung pelindung kipas angin - pink,5500,IDR,True,18,True,False
diskon-bebas-ongkir-rokok-marlboro-merah-putih-ice-burst-filter-m-filter-12-btg,2023-08-27T02:12:54+07:00,11374192549,16080380,kentangrebuss,1,62,400,GRAM,NEW,ACTIVE,https://www.tokopedia.com/kentangrebuss/diskon-bebas-ongkir-rokok-marlboro-merah-putih-ice-burst-filter-m-filter-12-btg,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,12,0,0,0.0,Diskon Bebas Ongkir Rokok Marlboro Merah Putih Ice Burst Filter - M.Filter 12 Btg,440700,IDR,True,62,True,False
miliki-rokok-magnum-max-12,2023-08-27T02:12:51+07:00,11374191759,16080517,bakaranshop,1,20,300,GRAM,NEW,ACTIVE,https://www.tokopedia.com/bakarans/miliki-rokok-magnum-max-12,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,4,0,0,0.0,Miliki Rokok Magnum Max 12,264000,IDR,True,20,False,False
spesial-the-statue-of-liberty-costume-america-iconic-statue-costume-xs,2023-08-08T17:08:12+07:00,11082058999,16084155,Greenlunch,1,4,500,GRAM,NEW,ACTIVE,https://www.tokopedia.com/greenl-1/spesial-the-statue-of-liberty-costume-america-iconic-statue-costume-xs,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",1,0,1,1,1,5,0,0,0.0,Spesial The Statue Of Liberty Costume America Iconic Statue Costume - XS,363000,IDR,True,4,True,False
kipas-tangan-pelangi-rainbow-kipas-tari-kipas-keprek-a,2022-09-22T00:27:39+07:00,6334328647,273526,Gudang Souvenir Dunia,1,73,50,GRAM,NEW,ACTIVE,https://www.tokopedia.com/gatrasouvenir/kipas-tangan-pelangi-rainbow-kipas-tari-kipas-keprek-a,False,0,False,False,False,1386415,Kipas Tangan,https://www.tokopedia.com/gatrasouvenir/etalase/kipas-tangan,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",37,0,258,38,250+,648,27,0,5.0,Kipas Tangan Pelangi Rainbow Kipas Tari Kipas Keprek - A,13500,IDR,True,73,True,True
diskon-cerutu-angel-corona,2023-08-27T02:20:46+07:00,11374328182,16080517,bakaranshop,1,2,70,GRAM,NEW,ACTIVE,https://www.tokopedia.com/bakarans/diskon-cerutu-angel-corona,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,1,0,0,0.0,Diskon Cerutu Angel Corona,130000,IDR,True,2,False,False
barang-terlaris-miliki-sin-provost-19-obat-herbal-berkhasiat-5-bks,2023-11-15T20:42:58+07:00,12116730465,16608268,gamis880022,1,29996,250,GRAM,NEW,ACTIVE,https://www.tokopedia.com/gamis880022/barang-terlaris-miliki-sin-provost-19-obat-herbal-berkhasiat-5-bks,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,4,0,0,0.0,BARANG TERLARIS !!! Miliki Sin Provost 19 Obat Herbal Berkhasiat 5 Bks,312000,IDR,True,29996,False,False
sarung-pelindung-kipas-angin-baby-finger-protector,2021-04-29T00:25:49+07:00,1806755956,10723699,RedTulip168,1,37,50,GRAM,NEW,ACTIVE,https://www.tokopedia.com/redtulip168/sarung-pelindung-kipas-angin-baby-finger-protector,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",11,0,15,11,15,679,4,0,4.5,Sarung Pelindung Kipas Angin Baby Finger Protector,5000,IDR,True,37,False,False
cover-fan-tutup-kipas-v-kustom-vkustom-chrome-original,2023-10-21T07:05:54+07:00,11898041969,16274634,hdgssuy,1,5,750,GRAM,NEW,ACTIVE,https://www.tokopedia.com/hdgssuy/cover-fan-tutup-kipas-v-kustom-vkustom-chrome-original,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,2,0,0,0.0,cover fan tutup kipas v kustom vkustom chrome original,340000,IDR,True,5,False,False
