alias,dateCreate,productID,shopID,shopName,minOrder,maxOrder,weight,weightUnit,condition,status,product_url,needPrescription,catalogID,isLeasing,isBlacklisted,isTokoNow,etalase_id,etalase_name,etalase_url,category_id,category_name,category_title,category_url,isAdult,isKyc,minAge,related_category_id,related_category_name,related_category_url,transactionSuccess,transactionReject,countSold,paymentVerified,itemSoldFmt,countView,countReview,countTalk,rating,product_name,product_price,currency,useStock,stockValue,isVariant,isCOD,productId,shopId
ready-kancing-tali-helm-paku-belah-untuk-pasang-tali-helm,2023-11-28T21:36:31+07:00,,,gloriouus,1,8809,310,GRAM,NEW,ACTIVE,https://www.tokopedia.com/gloriouus/ready-kancing-tali-helm-paku-belah-untuk-pasang-tali-helm,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,1,0,0,0.0,Ready Kancing Tali Helm Paku Belah Untuk Pasang Tali Helm,39138,IDR,True,8809,False,True,12225373060.0,6343019.0
dijual-nephrisol-coklat-vanila-201gr-new-formula,2023-03-03T18:49:09+07:00,,,rezaa shop.,1,93,750,GRAM,NEW,ACTIVE,https://www.tokopedia.com/rezaa-shop/dijual-nephrisol-coklat-vanila-201gr-new-formula,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,3,0,0,0.0,Dijual Nephrisol Coklat / Vanila 201Gr New Formula,120000,IDR,True,93,False,False,8279986462.0,14474123.0
terjangkau-kolam-terpal-kotak-ukr-p-4m-x-l-4-x-t-1m-orchid,2023-08-24T21:51:23+07:00,,,munseoha,1,100000,18000,GRAM,NEW,ACTIVE,https://www.tokopedia.com/munseo/terjangkau-kolam-terpal-kotak-ukr-p-4m-x-l-4-x-t-1m-orchid,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,1,0,0,0.0,Terjangkau Kolam Terpal Kotak Ukr P. 4M X L. 4 X T. 1M Orchid,1191000,IDR,True,100000,False,False,11329706293.0,16037468.0
terlaris-paket-hemat-sarung-remot-bando-kipas-bando-tv,2023-06-19T17:11:47+07:00,,,Hanzy Shop,1,61,385,GRAM,NEW,ACTIVE,https://www.tokopedia.com/hanzyshop-1/terlaris-paket-hemat-sarung-remot-bando-kipas-bando-tv,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,1,0,0,0.0,TERLARIS PAKET HEMAT (SARUNG REMOT BANDO KIPAS BANDO TV),75951,IDR,True,61,False,False,10278886727.0,15772200.0
new-rgb-smart-led-strip-ws2812b-ws2812-30led-meter-nonwaterproof-per,2023-03-25T17:03:15+07:00,,,estistore03,1,300,130,GRAM,NEW,ACTIVE,https://www.tokopedia.com/estistore03/new-rgb-smart-led-strip-ws2812b-ws2812-30led-meter-nonwaterproof-per,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,3,0,0,0.0,New Rgb Smart Led Strip Ws2812B Ws2812 30Led/Meter Nonwaterproof Per,279000,IDR,True,300,False,False,8746891969.0,14393375.0
spesial-djarum-la-bold-jarum-la-bold-isi-20-batang,2023-08-27T02:15:17+07:00,,,kentangrebuss,1,60,400,GRAM,NEW,ACTIVE,https://www.tokopedia.com/kentangrebuss/spesial-djarum-la-bold-jarum-la-bold-isi-20-batang,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,6,0,0,0.0,Spesial Djarum La Bold Jarum La Bold Isi 20 Batang,478000,IDR,True,60,False,False,11374230654.0,16080380.0
sale-uwell-caliburn-koko-prime-pod-kit-authentic-terlaris,2023-04-14T20:54:06+07:00,,,aadinashop,1,1186,750,GRAM,NEW,ACTIVE,https://www.tokopedia.com/aadinashop/sale-uwell-caliburn-koko-prime-pod-kit-authentic-terlaris,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,6,0,0,0.0,Sale Uwell Caliburn Koko Prime Pod Kit - Authentic Terlaris,388000,IDR,True,1186,False,False,9174836788.0,14457592.0
ready-skun-gepeng-male-female-terminal-kabel-soket-eceran-murah-6-3mm,2023-11-29T17:31:19+07:00,,,jejeeee,1,999,310,GRAM,NEW,ACTIVE,https://www.tokopedia.com/jejeeee/ready-skun-gepeng-male-female-terminal-kabel-soket-eceran-murah-6-3mm,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,1,0,0,0.0,"Ready Skun Gepeng Male Female Terminal Kabel Soket Eceran Murah 6,3mm",37158,IDR,True,999,False,False,12231446049.0,14731461.0
hotsale-side-table-meja-mini-putih-hiasan-ruangan-30x32-tinggi-35,2023-10-12T18:09:18+07:00,,,Samduin,1,91,399,GRAM,NEW,ACTIVE,https://www.tokopedia.com/samduin/hotsale-side-table-meja-mini-putih-hiasan-ruangan-30x32-tinggi-35,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,2,0,0,0.0,Hotsale Side Table Meja Mini Putih Hiasan Ruangan 30x32 Tinggi 35,105952,IDR,True,91,False,False,11817621611.0,14749866.0
baru-haloca-beauty-ready-ori-2pcs-infused-booster,2023-12-16T05:37:53+07:00,,,Katrina eliana store,1,13,750,GRAM,NEW,ACTIVE,https://www.tokopedia.com/katrinaeliana/baru-haloca-beauty-ready-ori-2pcs-infused-booster,False,0,False,False,False,0,,,3741,Cover Kipas Angin,Cover Kipas Angin,https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin,False,False,0,"['984', '993', '3741']","['Rumah Tangga', 'Dekorasi', 'Cover Kipas Angin']","['https://www.tokopedia.com/p/rumah-tangga', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi', 'https://www.tokopedia.com/p/rumah-tangga/dekorasi/cover-kipas-angin']",0,0,0,0,,1,0,0,0.0,BARU!!! [HALOCA BEAUTY] READY ORI 2pcs INFUSED BOOSTER,234000,IDR,True,13,False,False,12360585316.0,16612292.0
